Student_ID,Name,Age,Gender,City,Department,Semester,Hostel,Attendance_%,Study_Hours_Daily,Assignment_%,Midterm_Marks,Final_Exam_Marks,Project_Marks,Coding_Score,Communication_Score,Sleep_Hours,Screen_Time_Hours,Annual_Fees,Grade,Attendance_Status
STU1001,Aditya,23,Male,Delhi,Mechanical,6,No,71.9,1.0,99.6,49,90,60,94,53.0,7.3,6.9,141932,B,Irregular
STU1002,Varun,23,Male,Mumbai,Mechanical,7,No,74.4,5.1,47.6,83,88,81,79,44.0,7.2,3.4,150038,B+,Irregular
STU1003,Vivaan,21,Female,Chennai,Mechanical,5,No,55.6,1.2,95.0,94,43,89,28,,5.7,7.3,89457,B,Irregular
STU1004,Aryan,21,Female,Ahmedabad,AI & DS,4,No,74.1,6.1,63.0,88,33,93,82,47.0,7.1,6.2,159789,B,Irregular
STU1005,Harsh,22,Male,Haridwar,CSE,8,Yes,69.6,2.4,45.3,87,53,65,79,70.0,8.2,7.7,83986,B+,Irregular
STU1006,Vivaan,18,Female,Chennai,AI & DS,8,Yes,90.6,6.1,80.1,39,70,67,26,41.0,8.5,5.8,78110,D,Regular
STU1007,Ananya,19,Female,Mumbai,CSE,4,Yes,87.1,4.6,94.9,35,34,65,33,56.0,5.6,5.3,103827,D,Regular
STU1008,Varun,18,Male,Hyderabad,Mechanical,4,No,97.4,2.3,94.1,93,57,41,61,74.0,6.9,8.5,85707,B,Regular
STU1009,Dev,21,Male,Haridwar,IT,7,No,71.0,4.6,68.0,96,30,96,46,91.0,5.5,3.0,136199,B+,Irregular
STU1010,Vaishnavi,21,Female,Chennai,ECE,3,Yes,97.4,2.0,99.9,66,81,88,81,87.0,5.7,9.8,70854,A,Regular
STU1011,Aryan,23,Female,Chennai,Mechanical,7,Yes,67.5,3.6,58.3,35,48,41,72,73.0,8.1,5.8,176081,C,Irregular
STU1012,Rohan,22,Male,Pune,Mechanical,3,No,83.5,1.1,73.2,45,45,72,92,88.0,5.5,7.2,153763,B,Regular
STU1013,Nikhil,18,Male,Delhi,AI & DS,2,Yes,97.3,2.6,54.6,74,68,57,20,40.0,8.9,6.1,72049,C,Regular
STU1014,Ananya,20,Male,Mumbai,Mechanical,8,No,99.8,6.5,80.3,46,98,76,51,38.0,4.9,3.3,177941,B,Regular
STU1015,Aditya,22,Male,Pune,CSE,4,Yes,85.1,4.5,54.8,59,47,85,85,83.0,6.1,8.0,169522,B+,Regular
STU1016,Kavya,23,Female,Hyderabad,Civil,3,No,84.6,7.3,68.9,67,77,51,78,51.0,6.1,7.2,109790,B,Regular
STU1017,Neha,18,Female,Bangalore,AI & DS,3,No,77.2,1.1,96.1,95,77,58,23,64.0,6.4,9.7,136235,B,Regular
STU1018,Sneha,18,Female,Hyderabad,ECE,3,No,93.4,1.5,56.5,97,61,62,52,96.0,7.5,4.9,126958,B+,Regular
STU1019,Diya,23,Female,Chennai,Civil,2,Yes,78.3,3.9,59.1,36,46,79,52,38.0,7.3,2.7,159912,C,Regular
STU1020,Isha,20,Male,Delhi,ECE,8,Yes,83.3,5.7,63.0,54,94,47,35,43.0,5.2,9.9,92677,C,Regular
STU1021,Simran,20,Female,Bangalore,CSE,8,Yes,81.6,2.9,98.1,83,81,81,89,44.0,6.6,8.7,128335,B+,Regular
STU1022,Priya,19,Female,Ahmedabad,AI & DS,3,Yes,78.9,3.8,68.8,81,84,79,71,45.0,7.8,4.0,102217,B+,Regular
STU1023,Aryan,18,Male,Delhi,AI & DS,6,No,98.3,2.3,96.4,57,38,51,20,87.0,7.4,6.1,99375,C,Regular
STU1024,Pooja,22,Female,Haridwar,Civil,6,No,79.9,1.3,47.2,56,96,51,45,45.0,8.3,7.6,165435,C,Regular
STU1025,Aryan,19,Female,Bangalore,Mechanical,2,No,55.8,3.6,79.4,82,68,75,52,52.0,6.8,8.9,79540,B,Irregular
STU1026,Mohit,21,Female,Delhi,IT,4,Yes,85.8,4.2,75.0,50,53,55,21,61.0,8.7,5.1,108304,D,Regular
STU1027,Kavya,19,Male,Mumbai,ECE,3,Yes,84.3,1.5,62.5,77,73,68,32,41.0,8.3,2.2,135953,C,Regular
STU1028,Yash,21,Male,Bangalore,Civil,1,No,66.7,2.2,86.3,41,97,97,94,58.0,8.1,9.9,155999,B+,Irregular
STU1029,Neha,22,Male,Haridwar,IT,1,No,60.7,7.3,72.8,58,52,71,56,41.0,8.2,4.6,136234,C,Irregular
STU1030,Rahul,21,Female,Pune,IT,2,Yes,59.5,1.6,50.0,46,90,80,38,38.0,7.2,6.4,157508,C,Irregular
STU1031,Aadhya,19,Male,Ahmedabad,Civil,3,Yes,88.9,4.8,83.8,57,45,96,58,82.0,8.9,7.5,152873,B,Regular
STU1032,Ananya,19,Male,Ahmedabad,ECE,5,Yes,82.8,1.6,99.3,41,75,52,59,71.0,6.2,5.0,176995,C,Regular
STU1033,Pooja,22,Female,Hyderabad,IT,2,No,65.7,3.3,68.9,79,33,75,89,60.0,5.6,5.2,73709,B,Irregular
STU1034,Dev,21,Male,Haridwar,CSE,6,Yes,57.5,7.7,45.7,95,68,40,22,91.0,8.9,2.3,90559,B,Irregular
STU1035,Meera,18,Male,Jaipur,Civil,6,No,78.7,3.7,85.5,70,48,59,76,47.0,8.6,9.7,81023,B,Regular
STU1036,Aryan,19,Female,Delhi,Mechanical,4,Yes,95.1,7.8,99.2,58,57,92,27,65.0,7.6,6.3,148752,C,Regular
STU1037,Sneha,20,Female,Bangalore,CSE,2,No,73.5,7.5,92.6,63,42,85,54,35.0,4.7,2.2,131813,C,Irregular
STU1038,Dev,23,Male,Jaipur,Civil,1,No,91.5,1.3,52.4,83,40,60,45,92.0,4.6,2.6,82763,B,Regular
STU1039,Krishna,19,Female,Mumbai,CSE,5,No,91.6,2.4,58.8,39,32,92,42,82.0,5.7,3.7,140080,C,Regular
STU1040,Aryan,19,Female,Hyderabad,AI & DS,3,Yes,85.2,3.2,89.9,66,63,67,91,68.0,8.9,2.7,107626,B+,Regular
STU1041,Diya,20,Male,,Mechanical,2,No,73.2,5.3,80.0,81,52,54,33,95.0,7.0,2.7,145745,B,Irregular
STU1042,Harsh,21,Female,Kolkata,CSE,2,Yes,70.7,2.8,70.3,72,59,94,70,34.0,8.9,5.9,139836,B,Irregular
STU1043,Karan,21,Female,Pune,CSE,3,No,64.4,4.3,81.7,77,52,94,99,45.0,5.3,3.5,93954,B+,Irregular
STU1044,Aarav,22,Male,Ahmedabad,AI & DS,2,Yes,92.0,4.5,83.0,76,90,61,40,99.0,4.7,8.4,75240,B+,Regular
STU1045,Arjun,18,Female,Jaipur,IT,5,No,86.0,2.5,65.4,90,92,87,80,55.0,6.7,6.9,143686,A,Regular
STU1046,Pooja,20,Male,Chennai,AI & DS,3,Yes,78.9,1.2,92.7,36,55,53,78,85.0,6.1,5.2,116271,B,Regular
STU1047,Dev,18,Male,Pune,CSE,4,No,67.1,6.5,72.4,62,68,96,36,73.0,4.9,6.3,149905,B,Irregular
STU1048,Aryan,19,Male,Kolkata,IT,5,No,80.1,5.2,58.0,74,71,80,25,81.0,5.0,3.2,141158,B,Regular
STU1049,Ananya,20,Male,Kolkata,Civil,4,No,77.0,1.8,66.9,96,91,69,43,84.0,8.9,8.9,177141,B+,Regular
STU1050,Aryan,20,Male,Bangalore,AI & DS,2,No,98.9,6.0,56.0,85,91,96,85,37.0,7.8,6.2,137584,B+,Regular
STU1051,Aarav,23,Female,Kolkata,ECE,5,Yes,82.5,4.8,56.1,98,67,76,30,32.0,7.6,2.7,71342,B,Regular
STU1052,Rohan,20,Female,Jaipur,Civil,6,No,85.7,7.8,51.8,51,38,50,34,53.0,7.8,9.5,154555,D,Regular
STU1053,Harsh,20,Male,Bangalore,AI & DS,4,No,72.1,6.8,55.3,35,69,61,79,93.0,5.6,7.1,90611,B,Irregular
STU1054,Karan,23,Female,Mumbai,Civil,6,Yes,69.2,6.2,72.6,76,47,79,91,68.0,5.5,9.2,115558,B+,Irregular
